adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count
False,/rbZvGN1A1QyZuoKzhCw8QPmf2q0.jpg,"[18, 53, 9648]",11324,en,Shutter Island,"World War II soldier-turned-U.S. Marshal Teddy Daniels investigates the disappearance of a patient from a hospital for the criminally insane, but his efforts are compromised by troubling visions and a mysterious doctor.",102.409,/4GDy0PHYX3VRXUtwK5ysFbg3kEx.jpg,2010-02-14,Shutter Island,False,8.203,23889
False,/5IGIFbHmRLWaAvaJ7DYen2jiJHW.jpg,"[53, 9648, 18, 80]",1148172,hi,दो पत्ती,A puzzling investigation leads a no-nonsense cop down a dark path involving the vicious rivalry between twin sisters and the volatile man they both love.,118.128,/cRL004ik3BfI1lNWAxIJyOyMJsY.jpg,2024-10-24,Do Patti,False,7.173,26
False,/1PnRPz4A4AguUEVOTcprIyctrax.jpg,"[18, 28]",59440,en,Warrior,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament – a path that puts the fighter on a collision course with his estranged, older brother.",84.405,/iM8n4nZJPR2abpnyZ36FUgHiRjr.jpg,2011-09-09,Warrior,False,7.849,4524
False,/Adrip2Jqzw56KeuV2nAxucKMNXA.jpg,[37],429,it,"Il buono, il brutto, il cattivo","While the Civil War rages on between the Union and the Confederacy, three men – a quiet loner, a ruthless hitman, and a Mexican bandit – comb the American Southwest in search of a strongbox containing $200,000 in stolen gold.",91.649,/bX2xnavhMYjWDoZp1VM6VnU1xwe.jpg,1966-12-22,"The Good, the Bad and the Ugly",False,8.463,8596
False,/7KGdTzKux4fp5sW7hUM33NWqBU1.jpg,"[12, 28]",89,en,Indiana Jones and the Last Crusade,"In 1938, an art collector appeals to eminent archaeologist Dr. Indiana Jones to embark on a search for the Holy Grail. Indy learns that a medieval historian has vanished while searching for it, and the missing man is his own father, Dr. Henry Jones Sr.. He sets out to rescue his father by following clues in the old man's notebook, which his father had mailed to him before he went missing. Indy arrives in Venice, where he enlists the help of a beautiful academic, Dr. Elsa Schneider, along with Marcus Brody and Sallah. Together they must stop the Nazis from recovering the power of eternal life and taking over the world!",68.13,/sizg1AU8f8JDZX4QIgE4pjUMBvx.jpg,1989-05-24,Indiana Jones and the Last Crusade,False,7.852,10060
False,/xZ2we4gdiwQmg6D1w9qHlAm5yIf.jpg,"[35, 12, 14, 16, 10751]",10192,en,Shrek Forever After,"A bored and domesticated Shrek pacts with deal-maker Rumpelstiltskin to get back to feeling like a real ogre again, but when he's duped and sent to a twisted version of Far Far Away—where Rumpelstiltskin is king, ogres are hunted, and he and Fiona have never met—he sets out to restore his world and reclaim his true love.",96.625,/6HrfPZtKcGmX2tUWW3cnciZTaSD.jpg,2010-05-16,Shrek Forever After,False,6.379,7308
False,/YL3GPOiDcNraIJOVDCZsoOBoDy.jpg,"[878, 28, 12, 53]",106,en,Predator,A team of elite commandos on a secret mission in a Central American jungle come to find themselves hunted by an extraterrestrial warrior.,93.815,/k3mW4qfJo6SKqe6laRyNGnbB9n5.jpg,1987-06-12,Predator,False,7.5,8025
False,/kB1Qrsg189eDz4Ej3ABXtLudClq.jpg,"[35, 10749]",810171,en,The Valet,"World famous movie star Olivia faces a PR disaster when a paparazzi snaps a photo of her with her married lover, Vincent. The hard-working valet Antonio accidentally appears in the same photo and is enlisted to pose as Olivia’s new boyfriend as a cover-up. This ruse with Olivia thrusts Antonio into the spotlight and unexpected chaos.",88.575,/q7FmdJHKMLIC4XgWfcFRIu2iVdL.jpg,2022-05-11,The Valet,False,7.5,550
False,/rcUcYzGGicDvhDs58uM44tJKB9F.jpg,"[16, 10751, 14, 28, 12]",527774,en,Raya and the Last Dragon,"Long ago, in the fantasy world of Kumandra, humans and dragons lived together in harmony. But when an evil force threatened the land, the dragons sacrificed themselves to save humanity. Now, 500 years later, that same evil has returned and it’s up to a lone warrior, Raya, to track down the legendary last dragon to restore the fractured land and its divided people.",88.316,/lPsD10PP4rgUGiGR4CCXA6iY0QQ.jpg,2021-03-03,Raya and the Last Dragon,False,7.846,6757
False,/wkPPRIducGfsbaUPsWfw0MCQdX7.jpg,"[28, 35, 12]",1051891,en,Thelma,"When 93-year-old Thelma Post gets duped by a phone scammer pretending to be her grandson, she sets out on a treacherous quest across the city to reclaim what was taken from her.",96.177,/rUcuageYgv9SsJoWuc0seRWG6JC.jpg,2024-06-21,Thelma,False,7.0,152
