popularity,title,vote_average,vote_count,budget,imdb_id,runtime,years_from_release,genre_Action,genre_Adventure,genre_Animation,genre_Comedy,genre_Crime,genre_Documentary,genre_Drama,genre_Family,genre_Fantasy,genre_History,genre_Horror,genre_Music,genre_Mystery,genre_Romance,genre_Science_Fiction,genre_TV_Movie,genre_Thriller,genre_War,genre_Western,domestic,international,worldwide
70.164,The SpongeBob SquarePants Movie,7.0,2866,30000000,tt0345950,87,20,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,85417988.0,55649139.0,141067695.0
92.512,District 9,7.446,9414,30000000,tt1136608,112,15,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,115646235.0,95242715.0,210888950.0
92.204,The Bourne Identity,7.5,9201,60000000,tt0258463,119,22,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,121661683.0,92372541.0,214034224.0
65.866,Saving Private Ryan,8.216,15784,70000000,tt0120815,169,26,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,217049603.0,265300000.0,482351251.0
92.046,Insurgent,6.4,9940,110000000,tt2908446,119,9,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,130179072.0,166823455.0,297002527.0
52.113,The Chronicles of Narnia: The Voyage of the Dawn Treader,6.4,5545,155000000,tt0980970,113,14,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,104386950.0,311299267.0,415686217.0
77.383,After Ever Happy,6.8,1212,14000000,tt13070038,95,2,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,1072750.0,18165323.0,19238073.0
57.858,The Ten Commandments,7.755,1601,13000000,tt0049833,220,68,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,65500000.0,0.0,65500755.0
53.357,The Croods: A New Age,7.484,3813,65000000,tt2850386,95,4,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,58568815.0,157337000.0,215905815.0
59.35,Kingsman: The Golden Circle,6.967,10289,104000000,tt4649466,141,7,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,100234838.0,310667824.0,410902662.0
59.042,Cars,6.982,13889,120000000,tt0317219,117,18,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,244082982.0,217908885.0,461996328.0
40.405,Arthur the King,7.8,642,19000000,tt10720352,107,0,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,25049006.0,15780132.0,40829138.0
65.338,Resident Evil: Welcome to Raccoon City,6.0,2431,25000000,tt6920084,107,3,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,17000612.0,24914303.0,41914915.0
54.068,Rise of the Planet of the Apes,7.3,11833,93000000,tt1318514,105,13,True,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,True,False,False,176760185.0,305040688.0,481800873.0
91.346,Hitman,6.135,3295,24000000,tt0465494,94,17,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,39687694.0,61588624.0,101276318.0
